Anxiety Recovery Centre Victoria,"ARCVic is a state-wide specialist mental health organisation providing support, recovery, and educational services to people and families living with anxiety disorders. They aim to support and equip people with knowledge and skills that build resilience against anxiety disorders.",https://www.arcvic.org.au/
Palliative Care Victoria,"Palliative Care Victoria is the peak body for palliative care and end-of-life care. They are an incorporated association and achieve their vision through empowering leadership, capacity building, and advocacy.",https://www.pallcarevic.asn.au/
St John Ambulance,"St John is a proud self-funded volunteer-based organisation committed to saving lives. As a not-for-profit, all their earnings go towards community programs which train and equip people to save lives.",https://stjohn.org.au/
The Smith Family,"The Smith Family is a national, independent children's charity helping disadvantaged Australians to get the most out of their education so they can create better futures for themselves.",https://www.thesmithfamily.com.au/
Oxfam,"Oxfam believes that all lives are equal and nobody should live in poverty. They join forces with people who share this belief to empower communities in building better lives for themselves. They are in front of decision-makers, governments and corporations, and speak out on big issues.",https://www.oxfam.org.au/
Reach Foundation,"Reach aims to inspire young people to believe in themselves and get the most out of life. Their crew are involved in ongoing training and development, contributing to the leadership of Reach, and training and mentoring younger crew.",https://www.reach.org.au/
Uniting,Uniting works alongside people of all ages in local communities across Victoria and Tasmania and base their work on human rights that are recognised in international declarations to ensure peace and equality among people. Their work covers a wide range of community services.,https://uniting.org/
Eastern Health,"Eastern Health is one of Melbourne’s largest metropolitan public health services. They provide a range of emergency, surgical, medical, and general healthcare services. With a diversity of programs, volunteers are able to assist in enhancing the patient’s experience.",https://www.easternhealth.org.au/
Teddy Bear Hospital,The Teddy Bear Hospital aims to familiarise children to health care environments and medical treatments through mock medical consultation scenarios in which children bring their beloved teddy bear or soft toy to the Teddy Bear Hospital for a check-up.,https://teddybearhospital.unimelb.edu.au/home
Raise,Raise Foundation is an Australian charity which provides mentoring programs for young people in the community. Their mentoring programs provide a community of support around young people.,https://raise.org.au/
Very Special Kids,"Very Special Kids are a children’s charity which helps children with life-threatening conditions. They provide ongoing support from diagnosis all the way through recovery or bereavement through counselling, advocacy, networking and peer activities, trained family volunteers and specialist care.",https://www.vsk.org.au/
Austin Health,"Austin Health is a leading specialist tertiary and quaternary health service. They are recognised for their high-quality, safe, person-centred care, leading teaching and research and as a place where staff and volunteers are proud to work.",http://www.austin.org.au/
Florey Institute of Neuroscience and Mental Health,The Florey Institute of Neuroscience and Mental Health is one of the largest and highly respected brain research centres in the world. They provide scientists and students with world-class facilities and the opportunity to improve lives.,https://www.florey.edu.au/
